model,batch_size,num_epochs,gpu_type,run_number,total_training_time_sec,avg_time_per_epoch_sec,inference_latency_single_img_sec,inference_latency_batch_sec,throughput_img_per_sec,gpu_memory_allocated_MB,gpu_memory_peak_MB,validation_accuracy_pct,f1_score
EfficientNet-B0,64,20,NVIDIA GeForce RTX 3090,1,529.81,21.07,0.0144,0.0206,3114.21,71.74,727.12,96.43,96.43
EfficientNet-B0,64,20,NVIDIA GeForce RTX 3090,2,527.03,20.96,0.0096,0.0431,1483.4,108.48,763.86,95.98,96.0
